workerid,global_comments,gender,age,race,region,regionComments,sentence,speaker,sgender,intonation,verification,ohyeschoice,spcertainty,adcertainty,authority,politeness,comment1,comment2
A14D297BQB6QF3,,gen=1,age=4,eth=3,Middle West,,married,aar,m,rise1,Ellen is married? ,response=2,28,62,39,87,,
A14D297BQB6QF3,,gen=1,age=4,eth=3,Middle West,,mom,kev,m,rise3,Eleanor is Annie's mom?,response=2,31,73,52,94,,
A14D297BQB6QF3,,gen=1,age=4,eth=3,Middle West,,spaceship,bon,f,rise2,Maria was in a spaceship to the moon??,response=2,15,65,68,84,,
A14D297BQB6QF3,,gen=1,age=4,eth=3,Middle West,,yemen,ros,f,fall,Lenny's from Yemen.,response=1,94,31,99,89,,
A14D297BQB6QF3,,gen=1,age=4,eth=3,Middle West,,obama,ros,f,qrise,Did Laura meet President Obama? ,response=2,34,65,72,92,,
A2A2PCKG5Q3U2G,No,gen=2,age=3,eth=3,Northeast,No,obama,aar,m,rise3,Laura met President Obama.,response=1,95,27,81,87,No,He sounds like a young professional or graduate student.
A2A2PCKG5Q3U2G,No,gen=2,age=3,eth=3,Northeast,No,spaceship,kev,m,rise1,Maria was in a spaceship to the Moon.,response=1,73,71,73,79,No,No
A2A2PCKG5Q3U2G,No,gen=2,age=3,eth=3,Northeast,No,yemen,aar,m,qrise,Is Lenny from Yemen?,response=2,15,22,59,77,No,No
A2A2PCKG5Q3U2G,No,gen=2,age=3,eth=3,Northeast,No,married,bon,f,fall,Helen is married.,response=1,83,33,90,81,No,No
A2A2PCKG5Q3U2G,No,gen=2,age=3,eth=3,Northeast,No,mom,ros,f,rise2,Eleanor is Andy's mom?,response=2,30,76,64,88,No,No
A3D5SBEU2N26ZV,No,gen=1,age=4,eth=1,California,No,spaceship,kev,m,rise1,maria was in a spaceship to the moon,response=2,0,100,0,80,No,No
A3D5SBEU2N26ZV,No,gen=1,age=4,eth=1,California,No,married,bon,f,fall,Ellen is married,response=1,100,10,100,0,No,No
A3D5SBEU2N26ZV,No,gen=1,age=4,eth=1,California,No,mom,ros,f,rise2,Eleanor is Annie's mom.,response=2,0,100,0,80,No,No
A3D5SBEU2N26ZV,No,gen=1,age=4,eth=1,California,No,yemen,aar,m,qrise,Is Lenny from Yemen?,response=2,0,100,0,85,No,No
A3D5SBEU2N26ZV,No,gen=1,age=4,eth=1,California,No,obama,aar,m,rise3,Laura met President Obama?,response=2,0,100,0,85,No,No
