workerid,stimulus,sentence,pronoun,speaker,speaker_gender,intonation,verification,speechact_choice,sp_certainty,addr_certainty,sp_authority,sp_politeness,subject_gender,subject_age,subject_ethnicity
AO7FM98CP90CL,married_ellen_ros_f_fall,married,ellen,ros,Female,fall,Ellen is married.,Assertion,95,31,87,36,Unspecified,N/A,N/A
AO7FM98CP90CL,yemen_lenny_bon_f_rise3,yemen,lenny,bon,Female,rise3,Lenny's from Yemen.,Question,37,57,42,88,Unspecified,N/A,N/A
AO7FM98CP90CL,yemen_you_ros_f_rise2,yemen,you,ros,Female,rise2,Youre from Yemen?,Question,42,85,34,59,Unspecified,N/A,N/A
AO7FM98CP90CL,obama_laura_ed_m_rise3,obama,laura,ed,Male,rise3,Laura met President Obama?,Question,44,66,43,78,Unspecified,N/A,N/A
AO7FM98CP90CL,lawn_you_kev_m_fall,lawn,you,kev,Male,fall,You need to mow the lawn.,Assertion,82,64,40,60,Unspecified,N/A,N/A
AT3C00TKZK13L,lawn_you_kev_m_rise2,lawn,you,kev,Male,rise2,you need to move along,Request,81,89,76,61,Male,1,3
AT3C00TKZK13L,yemen_you_ros_f_rise1,yemen,you,ros,Female,rise1,youå«re from Yemen,Question,33,33,31,60,Male,1,3
AT3C00TKZK13L,married_ellen_ros_f_rise2,married,ellen,ros,Female,rise2,Ellen is married,Question,45,41,65,61,Male,1,3
AT3C00TKZK13L,yemen_lenny_bon_f_rise1,yemen,lenny,bon,Female,rise1,Mony is from Yemen,Assertion,63,60,69,63,Male,1,3
AT3C00TKZK13L,spaceship_maria_kev_m_rise3,spaceship,maria,kev,Male,rise3,Bria was in a spaceship to the moon,Assertion,77,91,80,71,Male,1,3
AT3C00TKZK13L,mom_eleanor_bon_f_fall,mom,eleanor,bon,Female,fall,Eleanor is Annys mom,Assertion,91,86,30,83,Male,1,3
AT3C00TKZK13L,obama_laura_ed_m_rise1,obama,laura,ed,Male,rise1,Laura met president Obama,Assertion,80,76,31,73,Male,1,3
AT3C00TKZK13L,rain_it_ed_m_rise3,rain,it,ed,Male,rise3,Itå«s raining,Question,21,16,23,76,Male,1,3
A31MUX0WVEC6XU,mom_eleanor_bon_f_rise3,mom,eleanor,bon,Female,rise3,Eleanor is Annie's mom.,Assertion,82,88,67,84,Female,1,3
A31MUX0WVEC6XU,rain_it_ed_m_rise2,rain,it,ed,Male,rise2,It's raining?,Request,40,35,43,74,Female,1,3
A31MUX0WVEC6XU,lawn_you_kev_m_rise1,lawn,you,kev,Male,rise1,You need to mow the lawn,Request,59,71,35,64,Female,1,3
A31MUX0WVEC6XU,yemen_lenny_bon_f_fall,yemen,lenny,bon,Female,fall,Yani's from Yemen.,Assertion,65,78,63,77,Female,1,3
A31MUX0WVEC6XU,obama_laura_ed_m_fall,obama,laura,ed,Male,fall,Lauren a cousin Obama,Question,31,62,61,67,Female,1,3
A31MUX0WVEC6XU,spaceship_maria_kev_m_rise2,spaceship,maria,kev,Male,rise2,Brea was in a space ship to the moon,Assertion,65,82,70,63,Female,1,3
A31MUX0WVEC6XU,married_ellen_ros_f_rise1,married,ellen,ros,Female,rise1,Ellen in married,Assertion,61,72,33,58,Female,1,3
A31MUX0WVEC6XU,yemen_you_ros_f_rise3,yemen,you,ros,Female,rise3,You're from Yemen?,Question,18,61,39,70,Female,1,3
A1H198MRIM37T1,yemen_lenny_bon_f_rise2,yemen,lenny,bon,Female,rise2,Lenny's from Yemen,Assertion,13,14,6,42,Unspecified,3,3
A1H198MRIM37T1,obama_laura_ed_m_rise2,obama,laura,ed,Male,rise2,Laura met president Obama,Assertion,58,65,44,46,Unspecified,3,3
A1H198MRIM37T1,married_ellen_ros_f_rise3,married,ellen,ros,Female,rise3,Allen is married,Question,26,19,29,58,Unspecified,3,3
A1H198MRIM37T1,mom_eleanor_bon_f_rise1,mom,eleanor,bon,Female,rise1,Eleanor is Annie's Mom,Question,10,13,18,72,Unspecified,3,3
A1H198MRIM37T1,rain_it_ed_m_fall,rain,it,ed,Male,fall,It's raining,Assertion,89,89,65,36,Unspecified,3,3
A1H198MRIM37T1,spaceship_maria_kev_m_fall,spaceship,maria,kev,Male,fall,Maria was in a spaceship to the moon,Assertion,86,85,71,61,Unspecified,3,3
A1H198MRIM37T1,yemen_you_ros_f_fall,yemen,you,ros,Female,fall,You're from Yemen,Question,28,24,18,26,Unspecified,3,3
A1H198MRIM37T1,lawn_you_kev_m_rise3,lawn,you,kev,Male,rise3,You need to move along,Request,29,24,0,64,Unspecified,3,3
A3ULZGQA5AQMTD,spaceship_maria_bon_f_rise2,spaceship,maria,bon,Female,rise2,are we ever going to have a space ship to the moon,Question,76,79,72,94,Male,2,3
A3ULZGQA5AQMTD,yemen_lenny_ros_f_rise3,yemen,lenny,ros,Female,rise3,gladius is from yemen,Question,88,74,76,84,Male,2,3
A3ULZGQA5AQMTD,obama_laura_ros_f_fall,obama,laura,ros,Female,fall,Laura meet president obama,Assertion,100,96,75,80,Male,2,3
A3ULZGQA5AQMTD,armadillo_kev_m_rise1,armadillo,armadillo,kev,Male,rise1,armadillos are mammas,Question,92,89,82,100,Male,2,3
A3ULZGQA5AQMTD,mom_eleanor_kev_m_rise3,mom,eleanor,kev,Male,rise3,eleanor is annies mom,Assertion,91,85,93,89,Male,2,3
A3ULZGQA5AQMTD,beer_we_ed_m_rise2,beer,we,ed,Male,rise2,we should go get beer,Question,91,90,93,89,Male,2,3
A3ULZGQA5AQMTD,married_ellen_ed_m_rise1,married,ellen,ed,Male,rise1,ellen is married,Assertion,66,73,75,74,Male,2,3
A3ULZGQA5AQMTD,yemen_lenny_ros_f_qrise3,yemen,lenny,ros,Female,qrise3,is lenny from yemen,Question,92,74,70,78,Male,2,3
