workerid,global_comments,gender,age,race,region,regionComments,sentence,speaker,sgender,intonation,verification,speechactchoice,spcertainty,adcertainty,authority,politeness,comment1,comment2
A3I6BEO6FRYW9U,,gen=1,age=1,eth=2,New England,,mom,ros,f,qrise,Is Ellen or Annie's mom?,response=2,20,20,21,81,,
A3I6BEO6FRYW9U,,gen=1,age=1,eth=2,New England,,obama,aar,m,fall,Laura met President Obama.,response=1,76,82,69,71,,
A2TI8OCMFGC8GR,,gen=2,age=1,eth=3,california,,obama,ros,f,rise2,lora met president obama ,response=1,100,100,31,89,,speaks fast
A2TI8OCMFGC8GR,,gen=2,age=1,eth=3,california,,married,aar,m,qrise,is elien married,response=2,2,3,4,79,,
A2TI8OCMFGC8GR,,gen=2,age=1,eth=3,california,,yemen,ros,f,rise3,someone from yemen?,response=2,5,0,62,75,client east from yemen?,
A2TI8OCMFGC8GR,,gen=2,age=1,eth=3,california,,spaceship,bon,f,fall,in a spaceship to the moon?,response=2,14,10,66,32,in a spaceship to the moon?,
A2TI8OCMFGC8GR,,gen=2,age=1,eth=3,california,,mom,kev,m,rise1,indescribable ,response=1,0,0,0,62,indescribable talks to fast,
A2HX4Y98WHOZRR,No but much like the last survey (A) very unique and interesting to take!,gen=2,age=1,eth=3,Pacific Northwest-Washington,No but much like the last survey (A) very unique and interesting to take!,spaceship,bon,f,fall,Maria was in a spaceship to the moon!,response=1,85,25,100,35,N/A,N/A
A2HX4Y98WHOZRR,No but much like the last survey (A) very unique and interesting to take!,gen=2,age=1,eth=3,Pacific Northwest-Washington,No but much like the last survey (A) very unique and interesting to take!,obama,ros,f,rise2,Laura met president Obama?,response=2,55,80,25,70,N/A,N/A
A2HX4Y98WHOZRR,No but much like the last survey (A) very unique and interesting to take!,gen=2,age=1,eth=3,Pacific Northwest-Washington,No but much like the last survey (A) very unique and interesting to take!,yemen,ros,f,rise3,Lennys from Yemen?,response=2,25,55,15,70,N/A,N/A
A2HX4Y98WHOZRR,No but much like the last survey (A) very unique and interesting to take!,gen=2,age=1,eth=3,Pacific Northwest-Washington,No but much like the last survey (A) very unique and interesting to take!,mom,kev,m,rise1,Eleanor is Annies mom?,response=2,65,95,25,65,N/A,N/A
A2HX4Y98WHOZRR,No but much like the last survey (A) very unique and interesting to take!,gen=2,age=1,eth=3,Pacific Northwest-Washington,No but much like the last survey (A) very unique and interesting to take!,married,aar,m,qrise,Is Ellen married?,response=2,25,20,5,90,N/A,N/A
A3VRDQJNM1IC0E,Thank you,gen=1,age=1,eth=1,CA,Thank you,spaceship,bon,f,rise3,Maria was in spaceship to the moon. ,response=1,100,89,80,92,no,Female
A3VRDQJNM1IC0E,Thank you,gen=1,age=1,eth=1,CA,Thank you,married,aar,m,rise2,Delean is married. ,response=2,63,79,71,86,no,Sound liked Delean 
A3VRDQJNM1IC0E,Thank you,gen=1,age=1,eth=1,CA,Thank you,obama,ros,f,fall,Lurean met president Oboma ,response=1,90,83,89,92,no,Sounded like Lurean 
A3VRDQJNM1IC0E,Thank you,gen=1,age=1,eth=1,CA,Thank you,yemen,ros,f,rise1,Lenny's from Yemen ,response=2,61,58,64,83,no,Female 
A3VRDQJNM1IC0E,Thank you,gen=1,age=1,eth=1,CA,Thank you,mom,kev,m,qrise,I Eelenore Andy's mom?,response=1,61,70,68,91,no,Sounded like Andy's
A3JTDNRJYVCGQD,,gen=1,age=1,eth=3,Illinois,,spaceship,bon,f,qrise,Was Maria in a spaceship to the moon?,response=2,8,13,38,98,,
A3JTDNRJYVCGQD,,gen=1,age=1,eth=3,Illinois,,mom,kev,m,fall,Eleanor is Andy's mom.,response=1,98,98,71,63,,
A3JTDNRJYVCGQD,,gen=1,age=1,eth=3,Illinois,,yemen,ros,f,rise2,Lenny's from Yemon,response=2,28,40,30,67,,
A3JTDNRJYVCGQD,,gen=1,age=1,eth=3,Illinois,,obama,ros,f,rise1,Laura met President Obama?,response=2,57,56,38,59,,
A3JTDNRJYVCGQD,,gen=1,age=1,eth=3,Illinois,,married,aar,m,rise3,Elan is married?,response=2,58,61,50,89,,
A3FNC8ELMK8YJA,,gen=1,age=4,eth=3,California,,mom,kev,m,rise3,I wonder where is Annie's Mom,response=2,21,61,5,90,I thought he was wondering where Annie's Mom was,
A3FNC8ELMK8YJA,,gen=1,age=4,eth=3,California,,yemen,ros,f,fall,Lennie is from Yemen,response=1,89,92,98,72,,
A3FNC8ELMK8YJA,,gen=1,age=4,eth=3,California,,spaceship,bon,f,rise2,Maria was in a spaceship to the moon,response=1,69,66,38,70,,
A3FNC8ELMK8YJA,,gen=1,age=4,eth=3,California,,married,aar,m,rise1,Ellen is married,response=2,24,59,24,75,,
A3FNC8ELMK8YJA,,gen=1,age=4,eth=3,California,,obama,ros,f,qrise,Did Laura meet President Obama,response=2,55,72,59,75,,
A2ICIKKYSBL9V4,,gen=1,age=3,eth=4,California,,obama,aar,m,rise1,Laura met president Obama.,response=1,100,100,63,63,,Probably subdued 
A2ICIKKYSBL9V4,,gen=1,age=3,eth=4,California,,mom,ros,f,fall,Elenore is Annie's mom.,response=1,100,100,61,58,Elenore is Andy's mom.,Sounds robotic.
A2ICIKKYSBL9V4,,gen=1,age=3,eth=4,California,,yemen,aar,m,rise2,Leni's from Yemen?,response=2,100,100,45,41,,Sounds robotic
